"Asian Club","Hispanic Club"
"Asian Club","German Club"
"Asian Club","Spanish Club (high)"
"Asian Club","Close-up"
"Asian Club","Internships"
"Asian Club","Debate"
"Asian Club","Forensics"
"Asian Club","Forensics (National Forensics League)"
"Asian Club","Chess Club"
"Asian Club","Academic decathalon"
"Asian Club","STUCO"
"Asian Club","Newspaper Staff"
"Asian Club","Yearbook Staff"
"Asian Club","PEER"
"Asian Club","Pep Club"
"Asian Club","NHS"
"Asian Club","Key Club"
"Asian Club","Orchestra, Symphonic"
"Asian Club","Choir, a capella"
"Asian Club","Choir, chamber singers"
"Asian Club","Football, V"
"Asian Club","Tennis, boys V"
"Hispanic Club","Latin Club"
"Hispanic Club","French Club (low)"
"Hispanic Club","French Club (high)"
"Hispanic Club","Spanish Club"
"Hispanic Club","Spanish Club (high)"
"Hispanic Club","Spanish NHS"
"Hispanic Club","Close-up"
"Hispanic Club","Full IB Diploma Students (12th)"
"Hispanic Club","Debate"
"Hispanic Club","Forensics"
"Hispanic Club","Forensics (National Forensics League)"
"Hispanic Club","Chess Club"
"Hispanic Club","Science Olympiad"
"Hispanic Club","Academic decathalon"
"Hispanic Club","STUCO"
"Hispanic Club","PEER"
"Hispanic Club","Pep Club"
"Hispanic Club","Pep Club Officers"
"Hispanic Club","NHS"
"Hispanic Club","Drunk Driving"
"Hispanic Club","Key Club"
"Hispanic Club","Art Club"
"Hispanic Club","Theatre Productions"
"Hispanic Club","Orchestra, Full Concert"
"Hispanic Club","Orchestra, Symphonic"
"Hispanic Club","Choir, women's ensemble"
"Hispanic Club","Choir, a capella"
"Hispanic Club","Choir, chamber singers"
"Hispanic Club","Choir, barbershop quartet (4 men)"
"Hispanic Club","Football, V"
"Hispanic Club","Soccer, V"
"Hispanic Club","Baseball, JV (10th)"
"Hispanic Club","Baseball, V"
"Hispanic Club","Golf, boys V"
"Hispanic Club","Tennis, boys V"
"Hispanic Club","Track, boys V"
"Latin Club","French Club (low)"
"Latin Club","French Club (high)"
"Latin Club","French NHS"
"Latin Club","German Club"
"Latin Club","German NHS"
"Latin Club","Spanish Club"
"Latin Club","Spanish Club (high)"
"Latin Club","Spanish NHS"
"Latin Club","Close-up"
"Latin Club","Teachers of Tomorrow"
"Latin Club","Debate"
"Latin Club","Forensics"
"Latin Club","Forensics (National Forensics League)"
"Latin Club","Chess Club"
"Latin Club","Science Olympiad"
"Latin Club","Quiz-Bowl (all)"
"Latin Club","Academic decathalon"
"Latin Club","STUCO"
"Latin Club","Yearbook Contributors"
"Latin Club","Yearbook Staff"
"Latin Club","PEER"
"Latin Club","Pep Club"
"Latin Club","Pep Club Officers"
"Latin Club","NHS"
"Latin Club","Drunk Driving"
"Latin Club","Key Club"
"Latin Club","Art Club"
"Latin Club","Theatre Productions"
"Latin Club","Thespian Society (ITS)"
"Latin Club","Band, Marching (Symphonic)"
"Latin Club","Band, Jazz"
"Latin Club","Orchestra, Full Concert"
"Latin Club","Orchestra, Symphonic"
"Latin Club","Choir, treble"
"Latin Club","Choir, concert"
"Latin Club","Choir, women's ensemble"
"Latin Club","Choir, a capella"
"Latin Club","Drill Team"
"Latin Club","Football, 9th"
"Latin Club","Football, V"
"Latin Club","Soccer, V"
"Latin Club","Volleyball, 9th"
"Latin Club","Basketball, boys 9th"
"Latin Club","Basketball, boys JV"
"Latin Club","Basketball, girls 9th"
"Latin Club","Basketball, girls JV"
"Latin Club","Basketball, girls V"
"Latin Club","Softball, JV (10th)"
"Latin Club","Softball, V"
"Latin Club","Cheerleaders, 9th"
"Latin Club","Cheerleaders, Spirit Squad"
"Latin Club","Cheerleaders, JV"
"Latin Club","Cross Country, boys V"
"Latin Club","Cross Country, girls V"
"Latin Club","Golf, boys V"
"Latin Club","Swim & Dive Team, girls"
"Latin Club","Tennis girls V"
"Latin Club","Track, boys V"
"Latin Club","Track, girls V"
"Latin Club","Wrestling, V"
"French Club (low)","French Club (high)"
"French Club (low)","Spanish Club"
"French Club (low)","Spanish Club (high)"
"French Club (low)","Close-up"
"French Club (low)","Debate"
"French Club (low)","Forensics"
"French Club (low)","Forensics (National Forensics League)"
"French Club (low)","STUCO"
"French Club (low)","Yearbook Contributors"
"French Club (low)","Pep Club"
"French Club (low)","Pep Club Officers"
"French Club (low)","Drunk Driving"
"French Club (low)","Key Club"
"French Club (low)","Band, 8th"
"French Club (low)","Band, Jazz"
"French Club (low)","Orchestra, 8th"
"French Club (low)","Orchestra, Full Concert"
"French Club (low)","Orchestra, Symphonic"
"French Club (low)","Choir, treble"
"French Club (low)","Choir, concert"
"French Club (low)","Choir, women's ensemble"
"French Club (low)","Drill Team"
"French Club (low)","Football, 9th"
"French Club (low)","Soccer, V"
"French Club (low)","Volleyball, 8th"
"French Club (low)","Volleyball, 9th"
"French Club (low)","Basketball, boys 9th"
"French Club (low)","Basketball, boys JV"
"French Club (low)","Basketball, girls 8th"
"French Club (low)","Basketball, girls 9th"
"French Club (low)","Baseball, JV (10th)"
"French Club (low)","Softball, JV (10th)"
"French Club (low)","Softball, V"
"French Club (low)","Cheerleaders, 8th"
"French Club (low)","Cheerleaders, 9th"
"French Club (low)","Cheerleaders, Spirit Squad"
"French Club (low)","Cheerleaders, JV"
"French Club (low)","Cross Country, girls 8th"
"French Club (low)","Cross Country, boys V"
"French Club (low)","Cross Country, girls V"
"French Club (low)","Swim & Dive Team, girls"
"French Club (low)","Track, girls 8th"
"French Club (low)","Track, boys V"
"French Club (low)","Track, girls V"
"French Club (high)","French NHS"
"French Club (high)","German Club"
"French Club (high)","Spanish Club (high)"
"French Club (high)","Spanish NHS"
"French Club (high)","Close-up"
"French Club (high)","Full IB Diploma Students (12th)"
"French Club (high)","Internships"
"French Club (high)","Teachers of Tomorrow"
"French Club (high)","Debate"
"French Club (high)","Forensics"
"French Club (high)","Forensics (National Forensics League)"
"French Club (high)","Chess Club"
"French Club (high)","Science Olympiad"
"French Club (high)","Quiz-Bowl (all)"
"French Club (high)","Academic decathalon"
"French Club (high)","STUCO"
"French Club (high)","Newspaper Staff"
"French Club (high)","Yearbook Contributors"
"French Club (high)","Yearbook Staff"
"French Club (high)","PEER"
"French Club (high)","Pep Club"
"French Club (high)","NHS"
"French Club (high)","Drunk Driving"
"French Club (high)","Drunk Driving Officers"
"French Club (high)","Key Club"
"French Club (high)","Art Club"
"French Club (high)","Theatre Productions"
"French Club (high)","Thespian Society (ITS)"
"French Club (high)","Band, Marching (Symphonic)"
"French Club (high)","Band, Jazz"
"French Club (high)","Orchestra, Symphonic"
"French Club (high)","Choir, concert"
"French Club (high)","Choir, women's ensemble"
"French Club (high)","Choir, a capella"
"French Club (high)","Choir, chamber singers"
"French Club (high)","Choir, vocal ensemble (4 women)"
"French Club (high)","Drill Team"
"French Club (high)","Football, V"
"French Club (high)","Soccer, V"
"French Club (high)","Volleyball, JV"
"French Club (high)","Volleyball, V"
"French Club (high)","Basketball, girls JV"
"French Club (high)","Basketball, girls V"
"French Club (high)","Softball, JV (10th)"
"French Club (high)","Softball, V"
"French Club (high)","Cheerleaders, JV"
"French Club (high)","Cheerleaders, V"
"French Club (high)","Cross Country, girls V"
"French Club (high)","Golf, boys V"
"French Club (high)","Swim & Dive Team, boys"
"French Club (high)","Track, girls V"
"French Club (high)","Wrestling, V"
"French NHS","German Club"
"French NHS","Spanish Club (high)"
"French NHS","Spanish NHS"
"French NHS","Close-up"
"French NHS","Full IB Diploma Students (12th)"
"French NHS","Internships"
"French NHS","Teachers of Tomorrow"
"French NHS","Debate"
"French NHS","Forensics"
"French NHS","Forensics (National Forensics League)"
"French NHS","Chess Club"
"French NHS","Science Olympiad"
"French NHS","Academic decathalon"
"French NHS","Newspaper Staff"
"French NHS","Yearbook Contributors"
"French NHS","Yearbook Staff"
"French NHS","PEER"
"French NHS","Pep Club"
"French NHS","NHS"
"French NHS","Drunk Driving"
"French NHS","Drunk Driving Officers"
"French NHS","Key Club"
"French NHS","Theatre Productions"
"French NHS","Thespian Society (ITS)"
"French NHS","Band, Jazz"
"French NHS","Orchestra, Symphonic"
"French NHS","Choir, women's ensemble"
"French NHS","Choir, a capella"
"French NHS","Choir, chamber singers"
"French NHS","Choir, vocal ensemble (4 women)"
"French NHS","Drill Team"
"French NHS","Volleyball, V"
"French NHS","Basketball, boys JV"
"French NHS","Basketball, boys V"
"French NHS","Basketball, girls JV"
"French NHS","Basketball, girls V"
"French NHS","Softball, JV (10th)"
"French NHS","Softball, V"
"French NHS","Cheerleaders, JV"
"French NHS","Cheerleaders, V"
"French NHS","Cross Country, boys V"
"French NHS","Cross Country, girls V"
"French NHS","Track, girls V"
"German Club","German NHS"
"German Club","Spanish Club"
"German Club","Spanish Club (high)"
"German Club","Close-up"
"German Club","Full IB Diploma Students (12th)"
"German Club","Internships"
"German Club","Teachers of Tomorrow"
"German Club","Debate"
"German Club","Forensics"
"German Club","Forensics (National Forensics League)"
"German Club","Chess Club"
"German Club","Science Olympiad"
"German Club","Quiz-Bowl (all)"
"German Club","Academic decathalon"
"German Club","STUCO"
"German Club","Yearbook Contributors"
"German Club","Yearbook Staff"
"German Club","PEER"
"German Club","Pep Club"
"German Club","NHS"
"German Club","Drunk Driving"
"German Club","Key Club"
"German Club","Art Club"
"German Club","Theatre Productions"
"German Club","Thespian Society (ITS)"
"German Club","Band, 8th"
"German Club","Band, Jazz"
"German Club","Orchestra, 8th"
"German Club","Orchestra, Symphonic"
"German Club","Choir, treble"
"German Club","Choir, concert"
"German Club","Choir, women's ensemble"
"German Club","Choir, a capella"
"German Club","Choir, chamber singers"
"German Club","Choir, barbershop quartet (4 men)"
"German Club","Drill Team"
"German Club","Football, 8th"
"German Club","Football, 9th"
"German Club","Football, V"
"German Club","Soccer, V"
"German Club","Volleyball, 8th"
"German Club","Volleyball, 9th"
"German Club","Basketball, boys 8th"
"German Club","Basketball, boys V"
"German Club","Basketball, girls 9th"
"German Club","Basketball, girls JV"
"German Club","Basketball, girls V"
"German Club","Baseball, JV (10th)"
"German Club","Softball, JV (10th)"
"German Club","Softball, V"
"German Club","Cheerleaders, V"
"German Club","Cross Country, boys 8th"
"German Club","Cross Country, boys V"
"German Club","Cross Country, girls V"
"German Club","Golf, boys V"
"German Club","Track, boys 8th"
"German Club","Track, girls 8th"
"German Club","Track, boys V"
"German Club","Track, girls V"
"German Club","Wrestling, 8th"
"German Club","Wrestling, V"
"German NHS","Close-up"
"German NHS","Full IB Diploma Students (12th)"
"German NHS","Debate"
"German NHS","Forensics"
"German NHS","Forensics (National Forensics League)"
"German NHS","Science Olympiad"
"German NHS","Quiz-Bowl (all)"
"German NHS","Academic decathalon"
"German NHS","STUCO"
"German NHS","Yearbook Contributors"
"German NHS","Pep Club"
"German NHS","NHS"
"German NHS","Drunk Driving"
"German NHS","Key Club"
"German NHS","Art Club"
"German NHS","Theatre Productions"
"German NHS","Thespian Society (ITS)"
"German NHS","Band, Jazz"
"German NHS","Orchestra, Symphonic"
"German NHS","Basketball, girls JV"
"German NHS","Basketball, girls V"
"German NHS","Cheerleaders, V"
"German NHS","Cross Country, girls V"
"German NHS","Golf, boys V"
"Spanish Club","Spanish Club (high)"
"Spanish Club","Spanish NHS"
"Spanish Club","Teachers of Tomorrow"
"Spanish Club","Debate"
"Spanish Club","Forensics"
"Spanish Club","Forensics (National Forensics League)"
"Spanish Club","Science Olympiad"
"Spanish Club","Academic decathalon"
"Spanish Club","STUCO"
"Spanish Club","Yearbook Contributors"
"Spanish Club","Yearbook Staff"
"Spanish Club","PEER"
"Spanish Club","Pep Club"
"Spanish Club","Pep Club Officers"
"Spanish Club","NHS"
"Spanish Club","Drunk Driving"
"Spanish Club","Key Club"
